Product_ID,Product_Name,Category,Subcategory,Estimated_Total_Units_Sold_in_2025,Estimated_Revenue_in_2025_USD,Price_From_EUR,Price_To_EUR,WarehouseName,WarehouseCode,WarehouseGLN,WarehouseAddress,IsSameDayAvailable,IsNextDayAvailable,IsNormalDeliveryAvailable,Country_Of_Origin,CO2_Footprint_kg,Packaging_Type,Repairability_Score,Estimated_Lifespan_Years,Material_Recyclable_Pct,Eco_Label,Carbon_Neutral_Certified
PROD-2025-0001,Loaded Tea At-Home Beverage Pack,Food & Beverage,Beverages,1651289,4953867,2.76,3.68,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,Netherlands,5.58,Recyclable Cardboard,1,,,,FALSE
PROD-2025-0002,Protein Coffee On-The-Go Energy Drink,Food & Beverage,Beverages,1466551,4399653,2.76,3.68,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,UK,,Plastic,,0.3,,,FALSE
PROD-2025-0003,Whitening Strips 7-Day Treatment,Beauty & Skincare,Personal Care,953072,10483792,10.12,14.72,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,France,,Minimal Packaging,2,0.3,,,
PROD-2025-0004,5-1 Full Body Shaver,Beauty & Skincare,Personal Care Gadgets,509346,22920570,41.4,62.56,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,USA,5.87,Plastic,1,0.5,25,,FALSE
PROD-2025-0005,Newborn Training Pants Baby Shorts,Baby,Organic Baby Clothing,835510,12532650,13.8,20.24,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,USA,,Minimal Packaging,1,,45,,FALSE
PROD-2025-0006,Vintage Crochet Set,Fashion,Womenswear,194058,6792030,32.2,47.84,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,,28.33,Plastic,3,,70,,FALSE
PROD-2025-0007,Kids Sonic Clean Auto-Toothbrush,Baby,Baby Safety Gear,251080,6277000,23,34.96,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,China,18.68,Plastic,1,1.5,39,,FALSE
PROD-2025-0008,Automated Toilet Bowl Cleaner,Home & Garden,Eco-friendly Cleaning,341482,4097784,11.04,16.56,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,Germany,30.22,Minimal Packaging,3,,74,,FALSE
PROD-2025-0009,Quick Release Belt,Fashion,Accessories,554123,11082460,18.4,27.6,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,Portugal,14.25,Mixed Plastic+Cardboard,,4.3,73,Energy Star,FALSE
PROD-2025-0010,Healing Tool Tuning Fork Set,Fitness,Recovery Tools,129966,7148130,50.6,75.44,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,74.34,Plastic,5,7.7,,,FALSE
