Product_ID,Product_Name,Category,Subcategory,Estimated_Total_Units_Sold_in_2025,Estimated_Revenue_in_2025_USD,Price_From_EUR,Price_To_EUR,WarehouseName,WarehouseCode,WarehouseGLN,WarehouseAddress,IsSameDayAvailable,IsNextDayAvailable,IsNormalDeliveryAvailable,Country_Of_Origin,CO2_Footprint_kg,Packaging_Type,Repairability_Score,Estimated_Lifespan_Years,Material_Recyclable_Pct,Eco_Label,Carbon_Neutral_Certified,Packaging_Score,Material_Type_Score,Warehouse_Infra_Score,Sub_Score_1,Transport_Score,Logistics_Plausibility_Score,Seller_Honesty_Score,Sub_Score_2,Final_Sustainability_Score,Confidence_Level,Missing_Data_Gaps,Claim_Risk_Flag,Claim_Risk_Reason,Recommended_Delivery_Date,Delivery_Improvement_Percent,Greener_Alternative_Product_ID,Bol_Certified,Eco_Label_Scope,Price_Sustainability_Score,Alternative_Price_Delta_EUR,Alt_Price_Saving_EUR,Alt_CO2_Saving_Kg,Alt_Greener_Pct,Make_Score,Last_Score
PROD-2025-0001,Loaded Tea At-Home Beverage Pack,Food & Beverage,Beverages,1651289,4953867.0,2.76,3.68,Bol - BFC Site 2,BFC2,8714252028102,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,Netherlands,5.58,Recyclable Cardboard,1,,,,FALSE,70.0,49.0,55.0,58.5,50.0,100.0,TRUE,67.5,24.7,High,Material_Recyclable_Pct,FALSE,,Next day,,,FALSE,,50.0,,,,,0.0,0.0
PROD-2025-0002,Protein Coffee On-The-Go Energy Drink,Food & Beverage,Beverages,1466551,4399653.0,2.76,3.68,Bol - BFC Site 2,BFC2,8714252028102,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,UK,,Plastic,,0.3,,,FALSE,25.0,49.0,55.0,42.7,0.0,100.0,TRUE,35.0,40.9,Medium,CO2_Footprint_kg; Material_Recyclable_Pct,FALSE,,Next day,,,FALSE,,100.0,,,,,0.0,100.0
PROD-2025-0003,Whitening Strips 7-Day Treatment,Beauty & Skincare,Personal Care,953072,10483792.0,10.12,14.72,Bol - Ingram Micro,INGRAM,8712423020603,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,France,,Minimal Packaging,2,0.3,,,,80.0,52.5,30.0,54.2,59.1,100.0,TRUE,73.4,44.4,Medium,CO2_Footprint_kg; Material_Recyclable_Pct,FALSE,,Standard,,,FALSE,,99.2,,,,,49.4,10.0
PROD-2025-0004,5-1 Full Body Shaver,Beauty & Skincare,Personal Care Gadgets,509346,22920570.0,41.4,62.56,Bol - BFC Site 1,BFC1,8714252028140,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,USA,5.87,Plastic,1,0.5,25,,FALSE,25.0,25.0,85.0,46.0,38.7,100.0,TRUE,60.2,46.8,High,None,FALSE,,Next day,,PROD-2025-0830,FALSE,,82.0,79.58,0.0,1.2,28,67.4,10.6
PROD-2025-0005,Newborn Training Pants Baby Shorts,Baby,Organic Baby Clothing,835510,12532650.0,13.8,20.24,Bol - BFC Site 2,BFC2,8714252028102,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,USA,,Minimal Packaging,1,,45,,FALSE,80.0,45.0,55.0,60.8,24.3,100.0,TRUE,50.8,40.3,Medium,CO2_Footprint_kg,FALSE,,Standard,,PROD-2025-0552,FALSE,,98.2,71.76,0.0,,64,50.0,0.0
PROD-2025-0006,Vintage Crochet Set,Fashion,Womenswear,194058,6792030.0,32.2,47.84,Bol - BFC Site 2,BFC2,8714252028102,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,,28.33,Plastic,3,,70,,FALSE,25.0,70.0,55.0,49.0,20.3,70.0,TRUE,37.7,37.0,High,Country_Of_Origin,FALSE,,Today,,PROD-2025-0635,TRUE,,85.1,-19.78,19.78,,39,36.7,25.0
PROD-2025-0007,Kids Sonic Clean Auto-Toothbrush,Baby,Baby Safety Gear,251080,6277000.0,23.0,34.96,Bol - BFC Site 1,BFC1,8714252028140,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,China,18.68,Plastic,1,1.5,39,,FALSE,25.0,39.0,85.0,50.2,0.0,100.0,TRUE,35.0,34.1,High,None,FALSE,,Next day,,PROD-2025-0464,FALSE,,88.6,29.9,0.0,13.0,104,39.8,9.4
PROD-2025-0008,Automated Toilet Bowl Cleaner,Home & Garden,Eco-friendly Cleaning,341482,4097784.0,11.04,16.56,Bol - Ingram Micro,INGRAM,8712423020603,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,Germany,30.22,Minimal Packaging,3,,74,,FALSE,80.0,74.0,30.0,60.7,51.4,100.0,TRUE,68.4,62.9,High,None,FALSE,,Next day,,PROD-2025-0052,TRUE,,100.0,37.72,0.0,,11,89.2,25.0
PROD-2025-0009,Quick Release Belt,Fashion,Accessories,554123,11082460.0,18.4,27.6,Bol - BFC Site 2,BFC2,8714252028102,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,Portugal,14.25,Mixed Plastic+Cardboard,,4.3,73,Energy Star,FALSE,45.0,73.0,55.0,56.9,82.4,100.0,TRUE,88.6,69.9,High,None,FALSE,,Today,,,TRUE,Energy efficiency,99.0,,,,,61.7,83.0
PROD-2025-0010,Healing Tool Tuning Fork Set,Fitness,Recovery Tools,129966,7148130.0,50.6,75.44,Bol - BFC Site 2,BFC2,8714252028102,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,74.34,Plastic,5,7.7,,,FALSE,25.0,53.0,55.0,43.9,6.5,70.0,TRUE,28.8,39.0,Medium,Material_Recyclable_Pct; Country_Of_Origin,FALSE,,Next day,,PROD-2025-0556,FALSE,,56.2,-8.28,8.28,19.2,28,30.4,52.4
